song_id,singer_id,song
1,1,Simarik
2,2,Sorry
3,3,D̦nence
4,4,Silence
5,5,Burn and Pass
6,6,Colorful
7,7,Billie Jean
8,8,Sweet Caroline
9,9,Jailhouse Rock
10,10,Jolene
11,11,Baba O'Riley
12,12,Hey Jude
13,13,Bohemian Rhapsody
14,14,Layla
15,15,Come On Eileen
16,16,I Will Always Love You
17,17,Superstition
18,18,Like a Prayer
19,19,Purple Rain
20,20,Heroes
21,21,Rolling in the Deep
22,22,Halo
23,23,Shape of You
24,24,Diamonds
25,25,Firework
26,26,Just the Way You Are
27,27,Sorry
28,28,Shake It Off
29,29,Sugar
30,30,Viva La Vida
